"instance_index","explanation","justification"
203,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
204,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
205,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
206,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
207,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
208,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
209,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
210,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
211,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
212,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
213,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
214,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
215,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
216,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
217,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
218,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
219,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
220,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
221,"AverageMInFile is between -9 (incl) to 52 (incl) THEN RiskPerformance is Bad","There were 143 clients which match the conditions of this rule in the training dataset. Out of these 128 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  89 %."
222,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
223,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
224,"NetFractionRevolvingBurden is between 64 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1901 clients which match the conditions of this rule in the training dataset. Out of these 1476 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  78 %."
225,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
226,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
227,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
228,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
229,"PercentTradesNeverDelq is between 11 (incl) to 85 (incl) THEN RiskPerformance is Bad","There were 1810 clients which match the conditions of this rule in the training dataset. Out of these 1397 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  77 %."
230,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
231,"MSinceOldestTradeOpen is between 4 (incl) to 97 (incl) THEN RiskPerformance is Bad","There were 1286 clients which match the conditions of this rule in the training dataset. Out of these 953 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  74 %."
232,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
233,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
234,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
235,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
236,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
237,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
238,"PercentTradesNeverDelq is between 11 (incl) to 85 (incl) THEN RiskPerformance is Bad","There were 1810 clients which match the conditions of this rule in the training dataset. Out of these 1397 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  77 %."
239,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
240,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
241,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
242,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
243,"PercentTradesNeverDelq is between 11 (incl) to 85 (incl) THEN RiskPerformance is Bad","There were 1810 clients which match the conditions of this rule in the training dataset. Out of these 1397 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  77 %."
244,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
245,"MSinceOldestTradeOpen is between 4 (incl) to 97 (incl) THEN RiskPerformance is Bad","There were 1286 clients which match the conditions of this rule in the training dataset. Out of these 953 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  74 %."
246,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
247,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
248,"PercentTradesWBalance is between 88 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1898 clients which match the conditions of this rule in the training dataset. Out of these 1384 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  73 %."
249,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
250,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
251,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
252,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
253,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
254,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
255,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
256,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
257,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
258,"PercentTradesWBalance is between 88 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1898 clients which match the conditions of this rule in the training dataset. Out of these 1384 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  73 %."
259,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
260,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
261,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
262,"NetFractionRevolvingBurden is between 64 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1901 clients which match the conditions of this rule in the training dataset. Out of these 1476 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  78 %."
263,"AverageMInFile is between 4 (incl) to 52 (incl) THEN RiskPerformance is Bad","There were 2030 clients which match the conditions of this rule in the training dataset. Out of these 1489 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  73 %."
264,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
265,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
266,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
267,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
268,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
269,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
270,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
271,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
272,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
273,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
274,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
275,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
276,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
277,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
278,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
279,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
280,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
281,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
282,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
283,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
284,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
285,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
286,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
287,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
288,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
289,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
290,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
291,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
292,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
293,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
294,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
295,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
296,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
297,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
298,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
299,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
300,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
301,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
302,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
303,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
304,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
305,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
306,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
307,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
308,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
309,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
310,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
311,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
312,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
313,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
314,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
315,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
316,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
317,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
318,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
319,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
320,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
321,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
322,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
323,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
324,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
325,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
326,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
327,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
328,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
329,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
330,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
331,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
332,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
333,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
334,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
335,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
336,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
337,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
338,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
339,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
340,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
341,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
342,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
343,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
344,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
345,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
346,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
347,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
348,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
349,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
350,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
351,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
352,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
353,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
354,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
355,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
356,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
357,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
358,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
359,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
360,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
361,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
362,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
363,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
364,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
365,"NetFractionRevolvingBurden is between 64 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1901 clients which match the conditions of this rule in the training dataset. Out of these 1476 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  78 %."
366,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
367,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
368,"PercentTradesNeverDelq is between 11 (incl) to 85 (incl) THEN RiskPerformance is Bad","There were 1810 clients which match the conditions of this rule in the training dataset. Out of these 1397 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  77 %."
369,"MSinceOldestTradeOpen is between 4 (incl) to 97 (incl) THEN RiskPerformance is Bad","There were 1286 clients which match the conditions of this rule in the training dataset. Out of these 953 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  74 %."
370,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
371,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
372,"NumInqLast6M is between 6 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 100 clients which match the conditions of this rule in the training dataset. Out of these 89 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  88 %."
373,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
374,"NetFractionRevolvingBurden is between 64 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1901 clients which match the conditions of this rule in the training dataset. Out of these 1476 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  78 %."
375,"NetFractionRevolvingBurden is between 64 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1901 clients which match the conditions of this rule in the training dataset. Out of these 1476 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  78 %."
376,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
377,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
378,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
379,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
380,"PercentTradesNeverDelq is between 11 (incl) to 85 (incl) THEN RiskPerformance is Bad","There were 1810 clients which match the conditions of this rule in the training dataset. Out of these 1397 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  77 %."
381,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
382,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
383,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
384,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
385,"NetFractionRevolvingBurden is between 64 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1901 clients which match the conditions of this rule in the training dataset. Out of these 1476 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  78 %."
386,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
387,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
388,"NetFractionRevolvingBurden is between 64 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1901 clients which match the conditions of this rule in the training dataset. Out of these 1476 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  78 %."
389,"AverageMInFile is between 4 (incl) to 52 (incl) THEN RiskPerformance is Bad","There were 2030 clients which match the conditions of this rule in the training dataset. Out of these 1489 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  73 %."
390,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
391,"NetFractionRevolvingBurden is between 64 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1901 clients which match the conditions of this rule in the training dataset. Out of these 1476 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  78 %."
392,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
393,"NumTotalTrades is lower than 17 (incl) THEN RiskPerformance is Bad","There were 114 clients which match the conditions of this rule in the training dataset. Out of these 100 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  87 %."
394,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
395,"PercentTradesNeverDelq is between 11 (incl) to 85 (incl) THEN RiskPerformance is Bad","There were 1810 clients which match the conditions of this rule in the training dataset. Out of these 1397 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  77 %."
396,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
397,"NetFractionRevolvingBurden is between 64 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1901 clients which match the conditions of this rule in the training dataset. Out of these 1476 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  78 %."
398,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
399,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
400,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
401,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
402,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
403,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
404,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
405,"AverageMInFile is between 4 (incl) to 52 (incl) THEN RiskPerformance is Bad","There were 2030 clients which match the conditions of this rule in the training dataset. Out of these 1489 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  73 %."
406,"NumSatisfactoryTrades is lower than 12 (incl) THEN RiskPerformance is Bad","There were 76 clients which match the conditions of this rule in the training dataset. Out of these 73 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  95 %."
407,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
408,"MSinceOldestTradeOpen is between 4 (incl) to 97 (incl) THEN RiskPerformance is Bad","There were 1286 clients which match the conditions of this rule in the training dataset. Out of these 953 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  74 %."
409,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
410,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
411,"MSinceOldestTradeOpen is between 4 (incl) to 97 (incl) THEN RiskPerformance is Bad","There were 1286 clients which match the conditions of this rule in the training dataset. Out of these 953 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  74 %."
